"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0188473218323965,0.141019042717447,0.00213219616204691,0.689048692201034,0.00186567164179104,0.0351763907734057,0.0338308457711443,0.0111940298507463,0.0494136460554371,0.00213219616204691
"bII",0.0149253731343284,0,0,0,0,0,0.00895522388059702,0,0.00597014925373134,0,0,0
"II",0.0398009950248756,0.0149253731343284,0,0,0.0348258706467662,0.0298507462686567,0,0.0223880597014925,0,0.0373134328358209,0,0
"bIII",0.104477611940299,0.0149253731343284,0.0149253731343284,0,0,0.119402985074627,0,0.00373134328358209,0.0708955223880597,0,0.0298507462686567,0
"III",0.00746268656716418,0,0,0,0,0.0435323383084577,0,0.0149253731343284,0,0.0236318407960199,0,0
"IV",0.812724795933751,0,0.012106135986733,0.0786069651741294,0.00746268656716418,0,0.00497512437810945,0.0132610755745084,0.00135685210312076,0.0222992181947406,0.0322817729534147,0
"bV",0.0149253731343284,0.00746268656716418,0,0.00373134328358209,0,0.0298507462686567,0,0,0.00373134328358209,0,0.0149253731343284,0
"V",0.0149253731343284,0,0.0298507462686567,0.0149253731343284,0,0.00746268656716418,0.0149253731343284,0,0.0238805970149254,0.0582089552238806,0,0
"bVI",0.0609452736318408,0.0111940298507463,0,0.0223880597014925,0,0.0373134328358209,0.00248756218905473,0,0,0.0149253731343284,0.0298507462686567,0
"VI",0.0348258706467662,0,0.026406429391504,0,0.0487562189054726,0.0389590508993494,0.00497512437810945,0.00298507462686567,0,0,0.00229621125143513,0.00497512437810945
"bVII",0.0977611940298507,0,0,0.0223880597014925,0,0.106218905472637,0,0,0.00746268656716418,0.00497512437810945,0,0.0149253731343284
"VII",0,0,0,0.0149253731343284,0,0.0149253731343284,0,0,0,0.0149253731343284,0,0
