"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00255863539445629,0.0219148717831773,0.0559686685619521,0.0118934548039026,0.437114658339417,0,0.380005230965503,0.0216062544420753,0.0220198662911569,0.0157349905484234,0.00852878464818763
"bII",0.0111940298507463,0,0.00373134328358209,0,0,0,0,0.0111940298507463,0.00373134328358209,0,0,0
"II",0.0324626865671642,0.0111940298507463,0,0.00497512437810945,0.0167910447761194,0.0248756218905473,0.00186567164179104,0.0210199004975124,0.00746268656716418,0.00746268656716418,0.013681592039801,0
"bIII",0.0186567164179104,0.00746268656716418,0.0111940298507463,0,0,0.104850746268657,0,0.0348258706467662,0.00808457711442786,0,0.0313432835820895,0
"III",0.0123134328358209,0,0.00298507462686567,0.0149253731343284,0,0.0373134328358209,0,0.020771144278607,0,0.0385572139303483,0,0
"IV",0.631083686214283,0,0.0186567164179104,0.0289800995024876,0.0104477611940299,0,0.00522388059701493,0.106618599062629,0.0368336886993603,0.0112020028064804,0.0315505804311774,0
"bV",0.00746268656716418,0,0,0,0,0.00746268656716418,0,0.0149253731343284,0,0,0,0
"V",0.886579009713338,0,0.00655650319829424,0.00149253731343284,0.0138000473821369,0.0402007818052594,0.00186567164179104,0,0.0132669983416252,0.00652985074626866,0.013272921108742,0.00186567164179104
"bVI",0.0409203980099502,0.00746268656716418,0.00186567164179104,0.00671641791044776,0,0.0236318407960199,0,0.0611940298507463,0,0,0.041044776119403,0.00373134328358209
"VI",0.0621890547263682,0,0.0211442786069652,0,0.00746268656716418,0.0135039090262971,0,0.0486851457000711,0.0111940298507463,0,0.0149253731343284,0.00746268656716418
"bVII",0.0604477611940299,0,0.00746268656716418,0.0171641791044776,0,0.0776119402985075,0,0.0574626865671642,0.00497512437810945,0.00995024875621891,0,0
"VII",0.0149253731343284,0,0,0,0.0033167495854063,0,0,0,0,0.00414593698175788,0,0
