"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0078812226645044,0.0705001568778659,0.0573838458553415,0.0300237000701397,0.330925415402836,0.000386996904024768,0.188583148877267,0.0705361889572416,0.037718069684014,0.142280367551265,0.00501387157733907
"bII",0.0123839009287926,0,0.00309597523219814,0.00309597523219814,0.00619195046439629,0.00103199174406605,0.00495356037151703,0.00154798761609907,0.0043343653250774,0,0.00412796697626419,0.00154798761609907
"II",0.115659246154602,0.00715022851245761,0,0.00340557275541796,0.0288305605643067,0.0627229839304143,0.000773993808049536,0.0426851442331318,0,0.029742342281042,0.00515995872033024,0.000773993808049536
"bIII",0.0440521552750655,0.00851393188854489,0.0178018575851393,0,0.00619195046439629,0.0510835913312693,0,0.00812693498452012,0.0279095173832016,0.00309597523219814,0.0360104635646431,0.00309597523219814
"III",0.0198658410732714,0.00309597523219814,0.0458204334365325,0.00619195046439629,0,0.0535564023180122,0,0.0255417956656347,0,0.0500039691990156,0.000773993808049536,0.00206398348813209
"IV",0.547509537684369,0,0.0298196471571085,0.025741157707102,0.0287760596310951,0,0.0065531475748194,0.0771508335112415,0.0235012665353223,0.0264079487763698,0.0473569450440694,0.000619195046439629
"bV",0.00928792569659443,0.00670794633642931,0.00309597523219814,0.000773993808049536,0,0.00928792569659443,0,0.00928792569659443,0.00490196078431373,0,0.00464396284829721,0.00154798761609907
"V",0.0909431000870102,0.000773993808049536,0.0264271976733277,0.00536001059585106,0.03359378839255,0.261727979314173,0.00773993808049536,0,0.0349619592653648,0.0492773265606083,0.0333123532813935,0.000773993808049536
"bVI",0.0495982603567743,0.00386996904024768,0,0.0224458204334365,0.00154798761609907,0.0134158926728586,0.0087719298245614,0.0295960489458941,0,0.0108359133126935,0.0859243697478992,0
"VI",0.0487686462144666,0,0.0729697547035008,0,0.0382094943240454,0.0559891604783246,0.00103199174406605,0.0531428839478375,0.00464396284829721,0,0.0113122171945701,0.00103199174406605
"bVII",0.174990317559977,0.000442282176028306,0.00464396284829721,0.0256983814259356,0,0.134171848103737,0,0.014918535197173,0.0296056540638584,0.00496830311071797,0,0.00309597523219814
"VII",0.00619195046439629,0.00309597523219814,0,0.00309597523219814,0.00825593395252838,0.00412796697626419,0.00309597523219814,0,0,0.00309597523219814,0.00619195046439629,0
