"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00135869565217391,0.00817805383022774,0.00834627329192547,0.0329325867369346,0.408063434150391,0,0.427370093674442,0.00970496894409938,0.0278985507246377,0.0668176328502415,0.00217391304347826
"bII",0,0,0,0,0,0,0.0072463768115942,0.00543478260869565,0.0036231884057971,0,0,0.00543478260869565
"II",0.0480072463768116,0,0,0,0.0289855072463768,0.102355072463768,0,0.0407608695652174,0,0.0244565217391304,0.00543478260869565,0
"bIII",0.0199275362318841,0,0,0,0,0.0235507246376812,0,0,0,0,0,0
"III",0.0271739130434783,0,0.0652173913043478,0,0,0.0733695652173913,0,0.0235507246376812,0,0.0172101449275362,0,0
"IV",0.749153476886853,0,0.0156142167011732,0.00296442687747036,0.01985891523935,0,0.00489130434782609,0.127427664336232,0.0105072463768116,0.0428701431418823,0.0195359059809188,0
"bV",0.0217391304347826,0.0108695652173913,0,0,0,0,0,0,0,0,0,0
"V",0.114042690401386,0,0.0222743741765481,0.00395256916996047,0.00481366459627329,0.765074508824509,0.00271739130434783,0,0,0.0515618137900747,0.0228818283166109,0
"bVI",0.00815217391304348,0,0,0.0108695652173913,0,0.00543478260869565,0.0108695652173913,0.0108695652173913,0,0.00815217391304348,0,0
"VI",0.0532773386034256,0,0.0644927536231884,0,0.0472826086956522,0.0808794466403162,0,0.0855895915678524,0.0108695652173913,0,0.016304347826087,0
"bVII",0.0686594202898551,0,0.00543478260869565,0,0,0.111292270531401,0,0.017512077294686,0.0144927536231884,0,0,0
"VII",0,0.0108695652173913,0,0,0.0108695652173913,0,0,0,0,0,0,0
