"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0541631857421331,0.0249930381509329,0.0321637426900585,0.628620843094527,0,0.12358713411345,0.0471317181843498,0.00865946918578498,0.0449665831244779,0.0068922305764411
"bII",0.0140350877192982,0,0,0,0,0,0.00350877192982456,0,0,0,0,0
"II",0.00350877192982456,0.0175438596491228,0,0.0175438596491228,0,0.0964912280701754,0.0087719298245614,0.0403508771929825,0,0.0263157894736842,0.0175438596491228,0
"bIII",0.0577485380116959,0.0175438596491228,0.037280701754386,0,0,0.0043859649122807,0,0.0321637426900585,0.0380116959064327,0,0.00584795321637427,0
"III",0.0263157894736842,0.00350877192982456,0.043859649122807,0.0175438596491228,0,0.00701754385964912,0,0,0,0.0947368421052632,0,0
"IV",0.103521460384205,0,0.0048582995951417,0.0245614035087719,0.0239938080495356,0,0,0.783306658177659,0.0260651629072682,0.00620782726045884,0.0274853801169591,0
"bV",0,0,0,0,0,0,0,0.0087719298245614,0,0,0,0.0087719298245614
"V",0.783951503749451,0.00269905533063428,0.00218494955337061,0.00425696594427245,0.00445558340295182,0.132383073266241,0,0,0.0283834586466165,0.0231947389842127,0.0165413533834586,0
"bVI",0.0511695906432749,0,0.0043859649122807,0,0,0.043859649122807,0,0.0859649122807018,0,0.0175438596491228,0.060233918128655,0
"VI",0.0263157894736842,0,0.0112781954887218,0.0050125313283208,0.0416040100250627,0.0358395989974937,0,0.0904761904761905,0,0,0.0175438596491228,0
"bVII",0.0618212197159566,0,0,0.0409356725146199,0,0.0639097744360902,0,0.0526315789473684,0.0263157894736842,0,0,0
"VII",0,0,0,0,0.0043859649122807,0.0307017543859649,0,0,0,0,0,0
