"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0516319150934536,0.00384615384615385,0.0220228489459259,0.188731881492062,0.00443786982248521,0.0869359806859807,0.00705128205128205,0.623412820839291,0.0119292472233649,0
"bII",0,0,0,0,0,0,0,0,0,0,0,0
"II",0.0723443223443223,0,0,0,0.0240384615384615,0.0769230769230769,0,0.116758241758242,0,0.0128205128205128,0.0336538461538462,0.00961538461538462
"bIII",0.0192307692307692,0,0,0,0,0.0192307692307692,0,0,0.0192307692307692,0,0,0
"III",0.0192307692307692,0,0.032051282051282,0,0,0.0717948717948718,0,0.0453296703296703,0,0.0777472527472527,0.00384615384615385,0
"IV",0.139823958093189,0,0.049098337559876,0.0014792899408284,0.0401126651126651,0,0,0.674249788672866,0.0239376008606778,0.0132867132867133,0.0195501080116465,0
"bV",0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0
"V",0.773809523809524,0,0.0404761904761905,0.00320512820512821,0.0226495726495726,0.0635836385836386,0,0,0,0.0366605616605617,0.00705128205128205,0
"bVI",0.0576923076923077,0,0,0.0192307692307692,0,0.0192307692307692,0,0.0528846153846154,0,0,0.00480769230769231,0
"VI",0.12499471682164,0,0.0240384615384615,0,0.0363553113553114,0.791351437024514,0,0.0108974358974359,0.00961538461538462,0,0.00274725274725275,0
"bVII",0.0634615384615385,0,0,0.00641025641025641,0,0.0576923076923077,0,0.0224358974358974,0.00192307692307692,0.0192307692307692,0,0.00192307692307692
"VII",0.0192307692307692,0,0,0,0,0,0,0.0192307692307692,0,0,0,0
