"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00731707317073171,0.00348432055749129,0,0,0.0308749516066589,0,0.93892760356175,0.0104529616724739,0.0048780487804878,0,0
"bII",0.0487804878048781,0,0,0,0,0,0,0,0,0,0,0
"II",0.0792682926829268,0,0,0,0.032520325203252,0.0914634146341463,0,0.0528455284552845,0.0121951219512195,0.0365853658536585,0.0121951219512195,0
"bIII",0,0,0.024390243902439,0,0,0.040650406504065,0,0.032520325203252,0,0,0,0
"III",0.00975609756097561,0,0.0260162601626016,0,0,0.024390243902439,0,0.0495934959349593,0,0.0121951219512195,0,0
"IV",0.143650793650794,0,0.002710027100271,0.0487804878048781,0.0197444831591173,0,0,0.346322106078204,0,0.064808362369338,0,0
"bV",0,0,0,0,0,0,0,0,0,0,0,0
"V",0.530021265996876,0,0.0779660380270136,0.00886917960088692,0.0308168795973674,0.176667032154837,0,0,0.00221729490022173,0.135114783590393,0.00696864111498258,0
"bVI",0,0,0,0,0,0,0,0.0487804878048781,0,0.024390243902439,0,0
"VI",0.0695121951219512,0,0.0426829268292683,0,0,0.192682926829268,0,0.109756097560976,0,0,0.024390243902439,0
"bVII",0.0528455284552845,0,0,0.024390243902439,0,0.00813008130081301,0,0,0,0.0121951219512195,0,0
"VII",0,0,0,0,0,0,0,0,0,0,0,0
