"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0503248735391593,0.00357142857142857,0.046385162456591,0.209243379752834,0.00412087912087912,0.13714633580705,0.00654761904761905,0.527565306425601,0.012862872421696,0
"bII",0,0,0,0,0,0,0,0,0,0,0,0
"II",0.0939625850340136,0,0,0,0.00446428571428571,0.0535714285714286,0,0.153061224489796,0,0.0119047619047619,0.0491071428571429,0.00892857142857143
"bIII",0.0178571428571429,0,0,0,0.00892857142857143,0.0267857142857143,0,0,0.0178571428571429,0,0,0
"III",0.0178571428571429,0,0.0297619047619048,0,0,0.0354166666666667,0,0.0267857142857143,0,0.172321428571429,0.00357142857142857,0
"IV",0.152753199181771,0,0.0512885923600209,0.00583791208791209,0.0312950937950938,0,0,0.688248953427525,0.0222277722277722,0.0123376623376623,0.0360108145822432,0
"bV",0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0
"V",0.759335604871319,0,0.0375850340136054,0,0.0246031746031746,0.0649943310657596,0,0,0.00757575757575758,0.0684060978703836,0.00654761904761905,0
"bVI",0.0714285714285714,0,0,0.0178571428571429,0,0.0178571428571429,0,0.0491071428571429,0,0.0178571428571429,0.00446428571428571,0
"VI",0.0787153322867609,0,0.0223214285714286,0,0.0148809523809524,0.868606096284668,0,0.00654761904761905,0.00892857142857143,0,0,0
"bVII",0.0886904761904762,0,0,0.00595238095238095,0,0.0357142857142857,0,0.0267857142857143,0.00178571428571429,0.0178571428571429,0,0.00178571428571429
"VII",0.0178571428571429,0,0,0,0,0,0,0.0178571428571429,0,0,0,0
