"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0016025641025641,0.00845543345543345,0.00183150183150183,0.0388435638435638,0.431198751391059,0,0.436678278985971,0.0114468864468864,0.0329059829059829,0.0276353276353276,0.00256410256410256
"bII",0,0,0,0.0128205128205128,0,0,0.00854700854700855,0.00641025641025641,0.00427350427350427,0,0,0.00641025641025641
"II",0.0416666666666667,0,0,0,0.0299145299145299,0.0982905982905983,0,0.032051282051282,0,0.0288461538461538,0,0
"bIII",0.0235042735042735,0,0,0,0,0.00213675213675214,0,0,0.00641025641025641,0,0.00641025641025641,0
"III",0.0384615384615385,0,0.0480769230769231,0,0,0.0737179487179487,0,0.0277777777777778,0,0.0170940170940171,0,0
"IV",0.794664812311871,0,0.016992266992267,0.00116550116550117,0.0179843304843305,0,0.00576923076923077,0.0977737948326184,0.0205128205128205,0.0222069597069597,0.0197251550192727,0
"bV",0.0256410256410256,0.0128205128205128,0,0,0,0,0,0,0,0,0,0
"V",0.095045695045695,0,0.0262723387723388,0,0.00824175824175824,0.776824564324564,0.00320512820512821,0,0,0.0566498316498317,0.0188034188034188,0
"bVI",0.00961538461538462,0,0,0.0128205128205128,0,0.00641025641025641,0.0128205128205128,0,0,0.00961538461538462,0.0128205128205128,0
"VI",0.0404040404040404,0,0.0555555555555556,0,0.0544871794871795,0.0716783216783217,0,0.0663364413364413,0.0128205128205128,0,0.0192307692307692,0
"bVII",0.0736568986568987,0.00183150183150183,0.00641025641025641,0.00366300366300366,0,0.0433557183557184,0,0.0206552706552707,0.00427350427350427,0,0,0
"VII",0,0.0128205128205128,0,0,0.0128205128205128,0,0,0,0,0,0,0
