"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00625,0.0122354497354497,0.00297619047619048,0.0124007936507937,0.0356316137566138,0.00694444444444444,0.905208333333333,0.00892857142857143,0,0.00595238095238095,0
"bII",0.0625,0,0,0,0,0,0,0,0,0,0,0
"II",0.0746527777777778,0,0,0,0.0381944444444444,0.102430555555556,0,0.0868055555555556,0.0104166666666667,0.03125,0.0104166666666667,0
"bIII",0,0,0.0416666666666667,0,0,0.0347222222222222,0,0.0277777777777778,0,0,0,0
"III",0.0118055555555556,0,0.0291666666666667,0,0,0.154166666666667,0,0.0423611111111111,0,0.0333333333333333,0,0
"IV",0.155277477152477,0,0.00738960113960114,0.05,0.0376984126984127,0,0,0.350527366152366,0.0208333333333333,0.0588293650793651,0,0
"bV",0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333
"V",0.541534218096718,0,0.0675880543068043,0.00757575757575758,0.0508267195767196,0.177733898046398,0,0,0,0.122003257159507,0.00595238095238095,0
"bVI",0.0208333333333333,0,0,0,0,0.0208333333333333,0,0.0416666666666667,0,0,0,0
"VI",0.059375,0.0208333333333333,0.040625,0,0.0375,0.152083333333333,0,0.10625,0,0,0.0208333333333333,0
"bVII",0.0451388888888889,0,0,0.0208333333333333,0,0.00694444444444444,0,0,0.0104166666666667,0.0208333333333333,0,0
"VII",0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0
