"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.000714285714285714,0.0369115646258503,0.0553937759011651,0.0275172129457844,0.451401761894373,0.000714285714285714,0.251362922791494,0.0180544217687075,0.0339501133786848,0.107242693814122,0.00710204081632653
"bII",0.00571428571428571,0,0,0,0.00571428571428571,0,0.00723809523809524,0.00285714285714286,0.00419047619047619,0,0,0.00285714285714286
"II",0.0830068027210884,0.00653061224489796,0,0,0.0280952380952381,0.0717687074829932,0,0.025578231292517,0,0.0335918367346939,0.00285714285714286,0
"bIII",0.0319047619047619,0.00571428571428571,0.0114285714285714,0,0,0.0538095238095238,0,0.00142857142857143,0.0214285714285714,0,0.00571428571428571,0.00571428571428571
"III",0.0242857142857143,0,0.0442857142857143,0,0,0.0580952380952381,0,0.030952380952381,0,0.040952380952381,0.00142857142857143,0
"IV",0.823343140208686,0,0.0123718820861678,0.00874891774891775,0.0138686868686869,0,0.00447619047619048,0.0762187544792587,0.00651948051948052,0.0307122242836529,0.0199678295560648,0
"bV",0.0171428571428571,0.00857142857142857,0.00571428571428571,0.00142857142857143,0,0.0171428571428571,0,0,0.00142857142857143,0,0.00571428571428571,0
"V",0.0651325324633595,0.00142857142857143,0.0166623376623377,0.00207792207792208,0.0254512471655329,0.397798377896122,0.0142857142857143,0,0.00914285714285714,0.0593924963924964,0.0248184196755625,0
"bVI",0.039047619047619,0.00428571428571429,0,0.0142857142857143,0,0.0114285714285714,0.00666666666666667,0.00571428571428571,0,0.0128571428571429,0.00857142857142857,0
"VI",0.0467229437229437,0,0.0504908424908425,0,0.0590952380952381,0.0778161838161838,0.0019047619047619,0.0469004329004329,0.00857142857142857,0,0.0170695970695971,0
"bVII",0.0719497645211931,0,0.00285714285714286,0.00285714285714286,0,0.190272457701029,0,0.0111111111111111,0.00476190476190476,0.00761904761904762,0,0.00571428571428571
"VII",0.00571428571428571,0.00571428571428571,0,0.00571428571428571,0.0114285714285714,0.00571428571428571,0,0,0,0,0.00571428571428571,0
