"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0111111111111111,0,0.0994708994708995,0,0.0970658970658971,0,0.117208994708995,0.593207070707071,0,0.0624915824915825,0
"bII",0.0333333333333333,0,0,0.0333333333333333,0,0,0,0,0,0,0,0
"II",0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0
"bIII",0.0166666666666667,0,0,0,0,0.189444444444444,0,0.0333333333333333,0.09,0.00833333333333333,0.0955555555555556,0
"III",0,0,0,0,0,0,0,0,0,0,0,0
"IV",0.23037037037037,0.0037037037037037,0,0.0125925925925926,0,0,0,0.165555555555556,0.181111111111111,0,0.0733333333333333,0
"bV",0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0
"V",0.288412698412698,0,0,0.00555555555555555,0,0.105079365079365,0,0,0.13984126984127,0.0166666666666667,0,0
"bVI",0.0503174603174603,0,0,0.0761904761904762,0,0.0206349206349206,0.00317460317460317,0.103703703703704,0,0.00833333333333333,0.737645502645503,0
"VI",0,0,0.0266666666666667,0,0,0.0333333333333333,0,0.0733333333333333,0,0,0,0
"bVII",0.758386243386243,0.00476190476190476,0,0.073015873015873,0,0.0625396825396825,0,0.0111111111111111,0.0531481481481481,0,0,0
"VII",0,0,0,0,0,0,0,0,0,0,0,0
