"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0157142857142857,0.122617337164751,0.0160714285714286,0.548304137194223,0.0015625,0.043801510989011,0.0366666666666667,0.0316964285714286,0.172057768620269,0.00178571428571429
"bII",0.0125,0,0,0,0.0125,0,0.0075,0,0.005,0,0,0
"II",0.0388888888888889,0.0125,0,0,0.0125,0.0329861111111111,0,0.009375,0,0.04375,0,0
"bIII",0.096875,0.0125,0.0125,0,0,0.115625,0,0.003125,0.059375,0,0,0.0125
"III",0.003125,0,0.0125,0,0,0.003125,0,0.021875,0,0.04375,0.003125,0
"IV",0.834025072150072,0,0.00125,0.0698958333333333,0,0,0.00416666666666667,0.0187797619047619,0.00426136363636364,0.0210714285714286,0.0340498737373737,0
"bV",0.0125,0.00625,0,0.003125,0,0.0375,0,0,0.003125,0,0.0125,0
"V",0.0313988095238095,0.003125,0.0125,0.0125,0.01875,0.0104166666666667,0.025,0,0.02,0.0258333333333333,0.0342261904761905,0
"bVI",0.0635416666666667,0.009375,0,0.01875,0,0.0375,0.00208333333333333,0.0125,0,0.01875,0.025,0
"VI",0.0463541666666667,0,0.0337820512820513,0,0.0140625,0.0559615384615385,0.00416666666666667,0.0104166666666667,0,0,0.00608974358974359,0.00416666666666667
"bVII",0.0605746336996337,0,0,0.01875,0,0.306092032967033,0,0.00416666666666667,0.00625,0.00416666666666667,0,0.0125
"VII",0.0125,0,0,0.0125,0,0.0125,0,0,0,0.0125,0,0
