"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.237921650998574,0.00769230769230769,0.00866355866355866,0.349880376034222,0.0013986013986014,0.264956325725556,0.00527472527472527,0.0618192918192918,0.0397863247863248,0.00961538461538462
"bII",0.0307692307692308,0,0.0153846153846154,0,0,0,0,0,0,0,0,0
"II",0.00732600732600733,0,0,0,0.00747252747252747,0.00659340659340659,0,0.967435897435897,0,0.0021978021978022,0.00512820512820513,0.00384615384615385
"bIII",0.00769230769230769,0.0153846153846154,0.0230769230769231,0,0,0.0307692307692308,0,0.0153846153846154,0,0,0,0
"III",0.0192307692307692,0,0.0653846153846154,0,0,0.0846153846153846,0.0153846153846154,0.0230769230769231,0,0.0153846153846154,0,0.00769230769230769
"IV",0.303030900723208,0,0.187442002442002,0.0187658495350803,0.0512820512820513,0,0.0115384615384615,0.203241758241758,0,0.0168376068376068,0.0232459847844463,0
"bV",0.0153846153846154,0,0,0,0,0,0,0.0307692307692308,0.00769230769230769,0,0,0.00769230769230769
"V",0.70875528317836,0.00170940170940171,0.0963186813186813,0,0.00192307692307692,0.103021978021978,0,0,0.0264957264957265,0.0369040574809806,0,0.00307692307692308
"bVI",0.0307692307692308,0,0,0.00769230769230769,0,0.0230769230769231,0,0.0307692307692308,0,0.0153846153846154,0.0153846153846154,0
"VI",0.108974358974359,0.0153846153846154,0.0115384615384615,0,0.0466666666666667,0.0230769230769231,0,0.0558974358974359,0,0,0,0
"bVII",0.0666666666666667,0,0,0.00769230769230769,0,0.0369230769230769,0,0.0107692307692308,0.0317948717948718,0.0153846153846154,0,0
"VII",0.0153846153846154,0,0,0,0.0384615384615385,0,0.00769230769230769,0,0,0,0,0
