"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.46389514877887,0,0.0158914728682171,0.232054186123954,0,0.105283734353502,0.0116279069767442,0.086766334440753,0.0389385807990459,0.0116279069767442
"bII",0,0,0,0,0,0,0,0,0,0,0,0
"II",0.841266485452532,0,0,0,0.0419444896189082,0.0472868217054264,0,0.0358451625893486,0,0.0280092001022234,0.00332225913621262,0
"bIII",0,0,0.0232558139534884,0,0,0,0,0,0,0,0.0232558139534884,0
"III",0,0,0.197674418604651,0.0232558139534884,0,0.0468992248062015,0,0,0,0.0577519379844961,0,0
"IV",0.212126245847176,0,0.0953488372093023,0,0.139147286821705,0,0,0.174695459579181,0,0.0531007751937985,0.0372093023255814,0
"bV",0,0,0,0,0,0,0,0,0,0,0,0
"V",0.363971945367294,0,0.0441038289875499,0,0.00465116279069767,0.0932514513909863,0,0,0.00581395348837209,0.0282593375616631,0.0387596899224806,0
"bVI",0.0348837209302326,0,0,0.0116279069767442,0,0.0155038759689922,0,0.0310077519379845,0,0,0.0232558139534884,0
"VI",0,0,0.192248062015504,0,0.0232558139534884,0.0883720930232558,0,0.10077519379845,0.0348837209302326,0,0.0465116279069767,0
"bVII",0.079734219269103,0,0,0,0,0.0387596899224806,0,0.044296788482835,0.0465116279069767,0.0232558139534884,0,0
"VII",0,0,0,0,0,0,0,0,0,0,0.0232558139534884,0
