"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.00602240896358543,0.0112920168067227,0.0247846108140226,0.468303142935496,0,0.408330313477372,0.0131302521008403,0.0285947712418301,0.0316993464052288,0
"bII",0,0,0,0,0,0,0.00980392156862745,0,0.00490196078431373,0,0,0
"II",0.0428921568627451,0,0,0,0.00980392156862745,0.0612745098039216,0,0.0294117647058824,0,0.0183823529411765,0,0
"bIII",0.0269607843137255,0,0,0,0,0.017156862745098,0,0,0,0,0,0
"III",0.0514705882352941,0,0.0441176470588235,0,0,0,0,0.0318627450980392,0,0.0196078431372549,0,0
"IV",0.807673622033484,0,0.0152894491129785,0.00401069518716578,0.0134803921568627,0,0.00661764705882353,0.103884214113453,0.0117647058823529,0.0139180672268908,0.0196847366397539,0
"bV",0.0294117647058824,0.0147058823529412,0,0,0,0,0,0,0,0,0,0
"V",0.0899053560818267,0,0.00685160427807487,0,0.00163398692810457,0.833932285035226,0.00367647058823529,0,0,0.025274806892454,0.0215686274509804,0
"bVI",0.0110294117647059,0,0,0.0147058823529412,0,0.00735294117647059,0.0147058823529412,0,0,0.0110294117647059,0,0
"VI",0.0414438502673797,0,0.0490196078431373,0,0.0220588235294118,0.0479055258467023,0,0.052807486631016,0.0147058823529412,0,0.0220588235294118,0
"bVII",0.0781862745098039,0,0.00735294117647059,0,0,0.0476307189542484,0,0.0236928104575163,0.00490196078431373,0,0,0
"VII",0,0,0,0,0,0,0,0,0,0,0,0
