"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0461551606288448,0.0366959064327485,0.043890977443609,0.158466679519311,0,0.202207441681126,0.0263157894736842,0.0283521303258145,0.454626440810651,0
"bII",0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0
"II",0.0657894736842105,0,0,0,0.0263157894736842,0.0723684210526316,0,0.160087719298246,0,0.0263157894736842,0.0175438596491228,0
"bIII",0.0328947368421053,0,0.0131578947368421,0,0,0.0723684210526316,0,0.0131578947368421,0,0,0,0.0263157894736842
"III",0.00657894736842105,0,0.0868421052631579,0,0,0.0197368421052632,0,0.0197368421052632,0,0.0447368421052632,0.00657894736842105,0
"IV",0.755730891915102,0,0.014327485380117,0.0209795321637427,0.0129186602870813,0,0,0.102738416554206,0.0118421052631579,0.033302151065309,0.0408733079785711,0
"bV",0,0,0,0,0,0.0263157894736842,0,0,0,0,0,0
"V",0.235509446693657,0.00657894736842105,0.0307017543859649,0,0.0517543859649123,0.144274146905726,0.0263157894736842,0,0,0.0410087719298246,0.148067283593599,0
"bVI",0.0263157894736842,0,0,0.0263157894736842,0,0.0394736842105263,0,0.0263157894736842,0,0.0131578947368421,0,0
"VI",0.0833333333333333,0,0.0333333333333333,0,0.0131578947368421,0.0631578947368421,0,0.0614035087719298,0,0,0.0350877192982456,0
"bVII",0.0629265471370734,0,0,0,0,0.928301523038365,0,0.0087719298245614,0,0,0,0
"VII",0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0
