"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0157088122605364,0.129418241071035,0.0147783251231527,0.516700774013497,0.0014367816091954,0.0421842525290801,0.0358063392546151,0.0310618500273673,0.198404118231704,0.00268696820420958
"bII",0.0153256704980843,0,0,0,0.0114942528735632,0.00383141762452107,0.00689655172413793,0,0.00459770114942529,0,0.0114942528735632,0
"II",0.0357598978288633,0.0114942528735632,0,0,0.0114942528735632,0.0446998722860792,0,0.0402298850574713,0,0.0402298850574713,0,0
"bIII",0.0948275862068965,0.0316091954022989,0.0172413793103448,0,0,0.110153256704981,0,0.0028735632183908,0.0545977011494253,0,0.0335249042145594,0.0114942528735632
"III",0.0028735632183908,0,0.0114942528735632,0.0114942528735632,0,0.014367816091954,0,0.0201149425287356,0,0.0402298850574713,0.0028735632183908,0
"IV",0.834557811281949,0,0.00498084291187739,0.0671455938697318,0,0,0.00383141762452107,0.0222359058565955,0.00621734587251829,0.0147783251231527,0.0347585045860908,0
"bV",0.0114942528735632,0.00574712643678161,0,0.0028735632183908,0,0.0344827586206897,0,0,0.00862068965517241,0,0.0172413793103448,0
"V",0.0259989053092501,0.0028735632183908,0.0306513409961686,0.0114942528735632,0.0172413793103448,0.00383141762452107,0.0229885057471264,0,0.0183908045977011,0.0448275862068966,0.0400930487137384,0
"bVI",0.064176245210728,0.00862068965517241,0,0.028735632183908,0.00574712643678161,0.0344827586206897,0.0134099616858238,0.0114942528735632,0,0.0172413793103448,0.0229885057471264,0
"VI",0.0483716475095785,0,0.0241674034777483,0,0.0244252873563218,0.0468611847922193,0.00383141762452107,0.00957854406130268,0,0,0.0228411435307987,0.00383141762452107
"bVII",0.130358721738032,0,0,0.0183908045977011,0,0.295311776346259,0,0.00383141762452107,0.00574712643678161,0.00613026819923372,0,0.0114942528735632
"VII",0.0114942528735632,0,0,0.0114942528735632,0,0.0114942528735632,0,0,0,0.0114942528735632,0.0114942528735632,0
