"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0220588235294118,0.371614496614497,0.0176470588235294,0.0751750700280112,0.130123879388585,0,0.065048595195654,0.00735294117647059,0.0752042483660131,0.0246229260935143,0.0132352941176471
"bII",0,0,0.0147058823529412,0,0,0,0.00490196078431373,0,0.00490196078431373,0,0.00490196078431373,0
"II",0.53930693489517,0.00455182072829132,0,0.00735294117647059,0.0565482311805841,0.0491596638655462,0,0.0527496604702487,0,0.0514652014652015,0.0168067226890756,0
"bIII",0,0,0.0294117647058824,0,0.0294117647058824,0,0,0.0147058823529412,0,0.0147058823529412,0.0147058823529412,0
"III",0.0245098039215686,0.00735294117647059,0.144607843137255,0.0147058823529412,0,0.103186274509804,0,0.0343137254901961,0,0.102696078431373,0,0.00735294117647059
"IV",0.207668067226891,0,0.0945378151260504,0,0.111274509803922,0,0.0196078431372549,0.0590686274509804,0.00367647058823529,0.033578431372549,0.0235294117647059,0
"bV",0,0.00980392156862745,0.0147058823529412,0,0,0,0,0.0294117647058824,0.0122549019607843,0,0,0.00735294117647059
"V",0.1781279178338,0,0.0554101943807826,0,0.071218487394958,0.0600532637297343,0.00367647058823529,0,0.0176470588235294,0.0558600713012478,0.0245098039215686,0
"bVI",0.0220588235294118,0.00490196078431373,0,0.00735294117647059,0,0.00980392156862745,0.00980392156862745,0.0196078431372549,0,0.0147058823529412,0.0147058823529412,0
"VI",0.0648395721925134,0,0.170098039215686,0,0.0862745098039216,0.0607843137254902,0,0.0760918003565062,0.00735294117647059,0,0.0294117647058824,0.00367647058823529
"bVII",0.0651260504201681,0,0,0,0,0.0245098039215686,0,0.0280112044817927,0.0441176470588235,0.0147058823529412,0,0
"VII",0,0,0.00735294117647059,0,0.0220588235294118,0,0.0147058823529412,0,0,0,0.0147058823529412,0
