"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0166300366300366,0.172281167108753,0.0021978021978022,0.621866352038766,0,0.0444755244755245,0.0376689976689977,0.0115384615384615,0.0713691863691864,0.0035964035964036
"bII",0.0205128205128205,0,0,0,0,0.00512820512820513,0,0,0,0,0.0153846153846154,0
"II",0.0307692307692308,0.0153846153846154,0,0,0.0153846153846154,0.0307692307692308,0,0.0230769230769231,0,0.0384615384615385,0,0
"bIII",0.123076923076923,0.0423076923076923,0.0153846153846154,0,0,0.128205128205128,0,0.00384615384615385,0.0576923076923077,0,0.0448717948717949,0
"III",0.00769230769230769,0,0,0.0153846153846154,0,0.0230769230769231,0,0.0153846153846154,0,0.0153846153846154,0,0
"IV",0.8053996003996,0,0.00769230769230769,0.081025641025641,0.00769230769230769,0,0.00512820512820513,0.0187362637362637,0.0013986013986014,0.0178571428571429,0.0243006993006993,0
"bV",0.0153846153846154,0,0,0,0,0.0307692307692308,0,0,0.00769230769230769,0,0.0230769230769231,0
"V",0.0166666666666667,0,0.0307692307692308,0.0153846153846154,0,0.00897435897435897,0.0153846153846154,0,0.0246153846153846,0.0471794871794872,0.0102564102564103,0
"bVI",0.0666666666666667,0,0,0.0230769230769231,0.00769230769230769,0.0384615384615385,0.0179487179487179,0,0,0.0153846153846154,0.0307692307692308,0
"VI",0.058974358974359,0,0.0272189349112426,0,0.0307692307692308,0.0319526627218935,0.00512820512820513,0,0,0,0.0100591715976331,0.00512820512820513
"bVII",0.160769230769231,0,0,0.0246153846153846,0,0.0525641025641026,0,0.00769230769230769,0.00769230769230769,0.00820512820512821,0,0.0153846153846154
"VII",0,0,0,0.0153846153846154,0,0.0153846153846154,0,0,0,0.0153846153846154,0.0153846153846154,0
