"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0192307692307692,0.311384199845738,0.0282051282051282,0.0655372405372405,0.129680646988339,0.00427350427350427,0.126153476153476,0.00641025641025641,0.0809472934472934,0.0296732114039806,0.0115384615384615
"bII",0,0,0.0128205128205128,0,0,0,0.00427350427350427,0,0.00427350427350427,0,0.00427350427350427,0
"II",0.499592999593,0.00396825396825397,0,0.00641025641025641,0.0900077486615948,0.0571021571021571,0,0.0577584452584453,0,0.0448670987132526,0.00824175824175824,0
"bIII",0.0128205128205128,0,0.0256410256410256,0,0.0256410256410256,0,0,0.0128205128205128,0,0.0128205128205128,0.0128205128205128,0
"III",0.0299145299145299,0.00641025641025641,0.123931623931624,0.0128205128205128,0,0.104257067718606,0,0.0534188034188034,0,0.12223865877712,0,0.00641025641025641
"IV",0.202126577126577,0,0.108058608058608,0,0.125854700854701,0,0.0170940170940171,0.0426638176638177,0.00320512820512821,0.0394586894586895,0.0205128205128205,0
"bV",0,0.00854700854700855,0.0128205128205128,0,0,0,0,0.0256410256410256,0.0106837606837607,0,0,0.0192307692307692
"V",0.163695563695564,0,0.053007178007178,0,0.0977004477004477,0.0514994264994265,0.00320512820512821,0,0.0153846153846154,0.0636557886557887,0.0226495726495726,0
"bVI",0.0192307692307692,0.00427350427350427,0,0.00641025641025641,0,0.00854700854700855,0.00854700854700855,0.0170940170940171,0,0.0128205128205128,0.0128205128205128,0
"VI",0.0766122766122766,0,0.174358974358974,0,0.0803418803418803,0.0871794871794872,0,0.0791569541569542,0.00641025641025641,0,0.0277777777777778,0.00320512820512821
"bVII",0.0311355311355311,0,0.0128205128205128,0,0,0.0598290598290598,0,0.0244200244200244,0.0384615384615385,0.0128205128205128,0,0
"VII",0,0,0.00641025641025641,0,0.032051282051282,0,0.0128205128205128,0,0,0,0.0128205128205128,0
