"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0212418300653595,0.156514019749314,0.0294117647058824,0.0885790679908327,0.361619752796223,0.0148544266191325,0.101137152607741,0,0.127295580236757,0.0411764705882353,0.0336601307189542
"bII",0.0352941176470588,0,0.0588235294117647,0.00980392156862745,0,0,0.0137254901960784,0.0196078431372549,0,0,0,0
"II",0.118253968253968,0.0176470588235294,0,0.00326797385620915,0.0834733893557423,0.0506535947712418,0.00980392156862745,0.456395891690009,0.00980392156862745,0.0595238095238095,0.0196078431372549,0.00490196078431373
"bIII",0,0.0196078431372549,0.0392156862745098,0,0.0294117647058824,0.00980392156862745,0,0.0392156862745098,0.0392156862745098,0,0,0
"III",0.0179738562091503,0.0137254901960784,0.0428104575163399,0,0,0.0281512605042017,0,0.017156862745098,0,0.873646125116713,0,0.0065359477124183
"IV",0.303851540616246,0,0.0760725657784481,0.00490196078431373,0.120681605975724,0,0.0224089635854342,0.263259833848069,0,0.00392156862745098,0.0784313725490196,0.00392156862745098
"bV",0,0,0,0,0.0196078431372549,0.0196078431372549,0,0.0490196078431373,0,0,0,0.0490196078431373
"V",0.61915176326941,0.00301659125188537,0.0235581412052,0,0.148008092125739,0.0660729248964543,0,0,0.0065359477124183,0.0879049055519644,0.0065359477124183,0
"bVI",0.0196078431372549,0.0196078431372549,0,0.0196078431372549,0,0,0,0,0,0,0,0
"VI",0.138888888888889,0,0.403501400560224,0.00560224089635854,0.0969421101774043,0.207212885154062,0,0.133146591970121,0,0,0,0.0147058823529412
"bVII",0.0758169934640523,0,0.0261437908496732,0,0.0261437908496732,0.0143790849673203,0,0.0065359477124183,0,0.0196078431372549,0,0.00784313725490196
"VII",0,0,0.00980392156862745,0,0.165032679738562,0.0212418300653595,0,0,0,0,0,0
