"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0056935817805383,0.0020703933747412,0.0244254135558483,0.48265140656445,0,0.397823110866589,0.0129399585921325,0.0339774557165862,0.0297906602254428,0.00289855072463768
"bII",0,0,0,0,0,0,0.00966183574879227,0,0.00483091787439614,0,0,0
"II",0.0471014492753623,0,0,0,0.0458937198067633,0.0579710144927536,0,0.0265700483091787,0,0.0108695652173913,0,0
"bIII",0.0265700483091787,0,0,0,0,0.00241545893719807,0,0,0,0,0,0
"III",0.0289855072463768,0,0.0386473429951691,0,0,0.0833333333333333,0,0.0144927536231884,0,0.0229468599033816,0,0
"IV",0.80009958309191,0,0.0208189556015643,0.00131752305665349,0.016304347826087,0,0.00652173913043478,0.102394853417871,0.0115942028985507,0.0237232574189096,0.0136023491522213,0
"bV",0.0289855072463768,0.0144927536231884,0,0,0,0,0,0,0,0,0,0
"V",0.0825637325637326,0,0.0133948177426438,0,0.0093167701863354,0.824405546144677,0.0036231884057971,0,0,0.0285316937490851,0.021256038647343,0
"bVI",0.0108695652173913,0,0,0.0144927536231884,0,0.0072463768115942,0.0144927536231884,0,0,0.0108695652173913,0,0
"VI",0.0456741326306544,0,0.0338164251207729,0,0.0485507246376812,0.0501097935880545,0,0.06822573561704,0.0144927536231884,0,0.0144927536231884,0
"bVII",0.0770531400966184,0,0.0072463768115942,0,0,0.0227858293075684,0,0.0233494363929147,0,0,0,0
"VII",0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0
