"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00154320987654321,0.00990593768371546,0.00947971781305115,0.0374049133308393,0.415742830557645,0,0.447547925325703,0.0110229276895944,0.0316872427983539,0.0266117969821674,0.00246913580246914
"bII",0,0,0,0,0,0,0.00823045267489712,0.00617283950617284,0.00411522633744856,0,0,0.00617283950617284
"II",0.0401234567901235,0,0,0,0.0288065843621399,0.106995884773663,0,0.0308641975308642,0,0.0277777777777778,0,0
"bIII",0.0226337448559671,0,0,0,0,0.0267489711934156,0,0,0,0,0,0
"III",0.037037037037037,0,0.0462962962962963,0,0,0.0709876543209877,0,0.0267489711934156,0,0.0164609053497942,0,0
"IV",0.786610581381823,0,0.0163629237703312,0.00336700336700337,0.017318244170096,0,0.00555555555555556,0.113681162700771,0.00987654320987654,0.0284391534391534,0.0115871863148552,0
"bV",0.0246913580246914,0.0123456790123457,0,0,0,0,0,0,0,0,0,0
"V",0.101495555199259,0,0.0252992891881781,0.00448933782267116,0.00793650793650794,0.769396344396344,0.00308641975308642,0,0,0.0557862576381095,0.0181069958847737,0
"bVI",0.00925925925925926,0,0,0.0123456790123457,0,0.00617283950617284,0.0123456790123457,0,0,0.00925925925925926,0,0
"VI",0.0543396932285821,0,0.0534979423868313,0,0.0524691358024691,0.0782828282828283,0,0.076225215114104,0.0123456790123457,0,0.0185185185185185,0
"bVII",0.0656378600823045,0,0.00617283950617284,0,0,0.0276406035665295,0,0.0198902606310014,0.00411522633744856,0,0,0
"VII",0,0.0123456790123457,0,0,0.0123456790123457,0,0,0,0,0,0,0
