"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0904650122959982,0.0220769058797228,0.0333668678739101,0.52938798290911,0,0.220137804292734,0.0296221775095015,0.0089640406541815,0.0373071763916834,0.00553319919517103
"bII",0.0253521126760563,0,0,0,0,0,0.0028169014084507,0,0,0,0,0
"II",0.0904182671788306,0.0140845070422535,0,0.0140845070422535,0.00256081946222791,0.150234741784038,0.00704225352112676,0.0455185659411012,0,0.028169014084507,0.0140845070422535,0
"bIII",0.0369718309859155,0.0140845070422535,0.0440140845070423,0,0,0.00352112676056338,0,0.0258215962441315,0.0258215962441315,0,0.00469483568075117,0
"III",0.0211267605633803,0.0028169014084507,0.0492957746478873,0.0140845070422535,0,0.076056338028169,0,0,0,0.076056338028169,0,0
"IV",0.111626348121791,0,0.0096906223666787,0.0225352112676056,0.0192626346313173,0,0,0.812853815919267,0.0115358819584172,0.0101480678945468,0.00234741784037559,0
"bV",0,0,0,0,0,0,0,0.00704225352112676,0,0,0,0.00704225352112676
"V",0.74459161893645,0.00216684723726977,0.0136492029097663,0.0034175642087821,0.0110887547507266,0.166913687411442,0,0,0.0171529175050302,0.0281868561798139,0.0112676056338028,0
"bVI",0.0410798122065728,0,0.00352112676056338,0,0,0.0446009389671361,0,0.0582159624413146,0,0.0140845070422535,0.0356807511737089,0
"VI",0.0352112676056338,0.0140845070422535,0.0372233400402414,0.00402414486921529,0.0474849094567404,0.0287726358148893,0,0.0867203219315895,0.0140845070422535,0,0.0140845070422535,0
"bVII",0.0308517773306506,0,0,0.028169014084507,0,0.051307847082495,0,0.028169014084507,0.0234741784037559,0.00704225352112676,0,0
"VII",0,0,0,0,0.00352112676056338,0.0246478873239437,0,0,0,0,0,0
