"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00584795321637427,0.0215924426450742,0.0709605453026506,0,0.0996156864577917,0,0.0815998329156224,0.278135363661679,0.0144603934077618,0.406832616701038,0
"bII",0.0584795321637427,0,0,0.0175438596491228,0.0175438596491228,0.0233918128654971,0,0.0175438596491228,0,0,0,0
"II",0.00701754385964912,0.0175438596491228,0,0.0105263157894737,0,0.0175438596491228,0,0,0.0175438596491228,0.0175438596491228,0.0175438596491228,0
"bIII",0.0266756635177688,0.0131578947368421,0.0307017543859649,0,0,0.0181286549707602,0,0.0175438596491228,0.0503566608829767,0,0.211856564488143,0
"III",0,0.0087719298245614,0,0,0,0,0,0,0,0.0175438596491228,0,0.0087719298245614
"IV",0.0984405458089669,0.0107212475633528,0.0116959064327485,0.0341130604288499,0,0,0,0.10453216374269,0.0988304093567251,0,0.185526315789474,0
"bV",0,0,0,0,0,0.0175438596491228,0,0,0.0087719298245614,0,0.0087719298245614,0
"V",0.229228373965216,0,0,0,0,0.0737259816207185,0,0,0.109326346168451,0.0175438596491228,0.043859649122807,0
"bVI",0.0668964076858814,0,0,0.0459482038429407,0,0.02109440267335,0.0192147034252297,0.0931495405179616,0,0.0043859649122807,0.451065162907268,0
"VI",0.0263157894736842,0,0.0140350877192982,0,0.0175438596491228,0.0175438596491228,0,0.0385964912280702,0.0087719298245614,0,0,0
"bVII",0.769796334270018,0.00569605832763728,0,0.0616927419558998,0,0.0594219133692818,0,0.0153730285309233,0.0848174729753677,0.0012531328320802,0,0
"VII",0,0,0,0,0,0,0,0,0,0,0,0
