"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0122751322751323,0.0164102564102564,0.0803850408850409,0,0.115624227624228,0,0.062015873015873,0.305962000962001,0.010989898989899,0.375967199467199,0
"bII",0.0666666666666667,0,0,0.0133333333333333,0.0133333333333333,0.0177777777777778,0,0.0133333333333333,0.00444444444444444,0,0,0
"II",0.00533333333333333,0.0133333333333333,0,0.008,0,0,0,0,0.0133333333333333,0.0133333333333333,0.0133333333333333,0
"bIII",0.0352735042735043,0.01,0.0233333333333333,0,0,0.0711111111111111,0,0.0183333333333333,0.0635303215303215,0.00333333333333333,0.195085063085063,0
"III",0,0.00666666666666667,0,0,0,0,0,0,0,0.0133333333333333,0,0.00666666666666667
"IV",0.0988148148148148,0.00814814814814815,0.00444444444444444,0.0441481481481482,0,0,0,0.120333333333333,0.0888888888888889,0,0.195222222222222,0
"bV",0,0,0,0,0,0.0133333333333333,0,0,0.00666666666666667,0,0.00666666666666667,0
"V",0.239435786435786,0,0,0.00555555555555556,0,0.0913650793650794,0,0,0.10475468975469,0.0177777777777778,0.0366666666666667,0
"bVI",0.133507936507937,0.00222222222222222,0,0.0551428571428571,0,0.0204761904761905,0.0146031746031746,0.13405291005291,0,0.00333333333333333,0.383328042328042,0
"VI",0.0266666666666667,0,0.0106666666666667,0,0.0133333333333333,0.0133333333333333,0,0.0426666666666667,0.00666666666666667,0,0.00666666666666667,0
"bVII",0.655489658489658,0.00432900432900433,0,0.0846642616642617,0,0.0407162097162097,0,0.0365723905723906,0.130016835016835,0.0053968253968254,0,0
"VII",0,0,0,0,0,0,0,0,0,0,0,0
