"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0953395562770563,0.00446428571428571,0.127320075757576,0.350004509379509,0,0.228796897546898,0.00446428571428571,0.152256944444444,0.0250270562770563,0.00625
"bII",0.03125,0,0,0,0,0,0,0,0,0,0,0
"II",0.198611111111111,0,0,0.0104166666666667,0.125,0.192708333333333,0,0.0347222222222222,0,0.021875,0.0104166666666667,0
"bIII",0,0,0.03125,0,0.03125,0,0,0.0416666666666667,0,0,0.0208333333333333,0
"III",0.015625,0,0.03125,0,0,0.934895833333333,0,0,0,0.0182291666666667,0,0
"IV",0.524434072871573,0,0.0658978174603175,0.0151041666666667,0.0256076388888889,0,0.0244791666666667,0.239318407287157,0.0390625,0.056547619047619,0.00954861111111111,0
"bV",0.0625,0,0,0,0,0,0,0.03125,0,0,0,0
"V",0.432217261904762,0,0.0432291666666667,0,0.0732142857142857,0.215922619047619,0,0,0.0296875,0.143229166666667,0,0
"bVI",0.03125,0,0,0.03125,0,0.03125,0,0.03125,0,0.03125,0,0
"VI",0.119791666666667,0.03125,0,0,0.3078125,0.13125,0,0.0973958333333333,0,0,0,0
"bVII",0.0520833333333333,0,0.03125,0,0,0.0260416666666667,0,0.015625,0.015625,0.015625,0,0
"VII",0,0,0,0,0.03125,0,0,0,0,0,0,0
