"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0047008547008547,0.170926058746572,0.0218898385565052,0.0387806637806638,0.29534183764953,0.00818440818440818,0.187933149471611,0.00388007054673721,0.200441533774867,0.0433964183964184,0.0173076923076923
"bII",0.0341880341880342,0,0.0256410256410256,0.00427350427350427,0,0,0.00427350427350427,0,0,0,0,0
"II",0.016961741961742,0.00626780626780627,0,0,0.0207977207977208,0.0248270248270248,0,0.891178266178266,0,0.00549450549450549,0.0259259259259259,0.00427350427350427
"bIII",0.00854700854700855,0.00854700854700855,0.0299145299145299,0,0,0.0213675213675214,0,0.0363247863247863,0.0235042735042735,0,0,0
"III",0.0106837606837607,0.00854700854700855,0.0646723646723647,0.00427350427350427,0,0.0765160765160765,0.00854700854700855,0.0231481481481481,0,0.179680504680505,0.00427350427350427,0.00427350427350427
"IV",0.359416841468124,0,0.121967846967847,0.0123248071966021,0.0567358567358567,0,0.0110500610500611,0.147290055623389,0.00170940170940171,0.0221747388414055,0.0314329545098776,0.00341880341880342
"bV",0.0170940170940171,0,0.00854700854700855,0,0.00854700854700855,0.0170940170940171,0,0.0341880341880342,0.00427350427350427,0,0,0.0128205128205128
"V",0.739834631180785,0,0.0694484527817861,0.00249287749287749,0.0275505358838692,0.0773029439696106,0.00213675213675214,0,0.00854700854700855,0.0503730006935135,0.00834350834350834,0.00277777777777778
"bVI",0.0227920227920228,0.00854700854700855,0,0.0128205128205128,0,0.0128205128205128,0,0.00854700854700855,0,0.00854700854700855,0,0.00284900284900285
"VI",0.0861823361823362,0,0.376231176231176,0,0.0477004477004477,0.0534188034188034,0,0.053988603988604,0,0,0,0.00641025641025641
"bVII",0.0458689458689459,0,0,0.00427350427350427,0,0.0581196581196581,0,0.0344729344729345,0.011965811965812,0.0384615384615385,0,0.00341880341880342
"VII",0.0170940170940171,0,0.00854700854700855,0,0.0826210826210826,0.00284900284900285,0.00427350427350427,0,0,0,0,0
