"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0914120193531958,0.00420168067226891,0.0793417366946779,0.313907987437399,0,0.275842458195399,0.00420168067226891,0.201283846872082,0.0182072829131653,0.00588235294117647
"bII",0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0
"II",0.128104575163399,0,0,0.00980392156862745,0.147058823529412,0.181372549019608,0,0.0915032679738562,0,0.0205882352941176,0.00980392156862745,0
"bIII",0,0,0.0294117647058824,0,0.0294117647058824,0,0,0.00980392156862745,0,0,0.0196078431372549,0
"III",0.0147058823529412,0,0.0367647058823529,0,0,0.931372549019608,0,0,0,0.017156862745098,0,0
"IV",0.452735336558866,0,0.0375116713352007,0.0142156862745098,0.0209500466853408,0,0.0230392156862745,0.339759994907054,0.0294117647058824,0.0733893557422969,0.00898692810457516,0
"bV",0.0588235294117647,0,0,0,0,0,0,0.0294117647058824,0,0,0,0
"V",0.451634517443341,0,0.0406862745098039,0,0.0689075630252101,0.234972625413802,0,0,0.00588235294117647,0.168504901960784,0,0
"bVI",0.0294117647058824,0,0,0.0294117647058824,0,0.0294117647058824,0,0,0,0.0294117647058824,0,0
"VI",0.0980392156862745,0.0294117647058824,0,0,0.311274509803922,0.179411764705882,0,0.117156862745098,0,0,0,0
"bVII",0.0490196078431373,0,0.0294117647058824,0,0,0.00980392156862745,0,0,0.0147058823529412,0.0147058823529412,0,0
"VII",0,0,0,0,0.0294117647058824,0,0,0,0,0,0,0
