"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0179138321995465,0.0032967032967033,0.075412543805401,0,0.0957878629307201,0,0.0664455782312925,0.333768810554525,0.0117748917748918,0.373774380381523,0
"bII",0.0666666666666667,0,0,0.0142857142857143,0.0142857142857143,0.0142857142857143,0,0.0142857142857143,0.00476190476190476,0,0,0
"II",0.00571428571428571,0.0142857142857143,0,0.00857142857142857,0,0,0,0,0.0142857142857143,0.0142857142857143,0,0
"bIII",0.0282692307692308,0,0.025,0,0,0.075,0,0.0196428571428571,0.0740205825920112,0.00357142857142857,0.195924472353044,0
"III",0,0.00714285714285714,0,0,0,0,0,0,0,0.0142857142857143,0,0.00714285714285714
"IV",0.0915873015873016,0.00873015873015873,0.00476190476190476,0.0444444444444444,0,0,0,0.113690476190476,0.0928571428571429,0,0.186785714285714,0
"bV",0,0,0,0,0,0.0142857142857143,0,0,0,0,0,0
"V",0.2401097711812,0,0,0.00595238095238095,0,0.0843197278911565,0,0,0.113665739022882,0.019047619047619,0.0392857142857143,0
"bVI",0.143044217687075,0.00238095238095238,0,0.0590816326530612,0,0.0219387755102041,0.00136054421768707,0.11124716553288,0,0.00357142857142857,0.414518140589569,0
"VI",0.0285714285714286,0,0.0114285714285714,0,0.0142857142857143,0.0142857142857143,0,0.0457142857142857,0.00714285714285714,0,0.00714285714285714,0
"bVII",0.646119872191301,0.00463821892393321,0,0.0988069470212327,0,0.0393387961245104,0,0.0391847041847042,0.120256132756133,0.00578231292517007,0,0
"VII",0,0,0,0,0,0,0,0,0,0,0,0
