"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.00424005218525766,0.0105185909980431,0.0428739449287395,0.476562440603536,0,0.358140261564919,0.0122309197651663,0.0351598173515982,0.0388127853881279,0.00273972602739726
"bII",0,0,0,0,0,0,0.0091324200913242,0,0.0045662100456621,0,0,0
"II",0.0399543378995434,0,0,0,0.0365296803652968,0.091324200913242,0,0.0410958904109589,0,0.0102739726027397,0,0
"bIII",0.0251141552511416,0,0.0136986301369863,0,0,0.0159817351598174,0,0,0,0,0,0
"III",0.0342465753424658,0,0.0684931506849315,0,0,0.0856164383561644,0,0.0159817351598174,0,0.0285388127853881,0,0
"IV",0.760790127591095,0,0.0196781909110676,0.0037359900373599,0.0242523950219357,0,0.00616438356164384,0.133431878355327,0.0132420091324201,0.022423352902805,0.0128570149520996,0
"bV",0.0273972602739726,0.0136986301369863,0,0,0,0,0,0,0,0,0,0
"V",0.0851403409018236,0,0.0126608551266086,0.0016116035455278,0.00347901717764731,0.836871768217457,0.00342465753424658,0,0,0.0298711182272826,0.010958904109589,0
"bVI",0.0102739726027397,0,0,0.0136986301369863,0,0.00684931506849315,0.0136986301369863,0.0136986301369863,0,0.0102739726027397,0,0
"VI",0.0294728102947281,0,0.0319634703196347,0,0.0458904109589041,0.0587795765877958,0,0.0804690743046907,0.0136986301369863,0,0.0136986301369863,0
"bVII",0.0522831050228311,0,0.00684931506849315,0,0,0.0215372907153729,0,0.015220700152207,0.0136986301369863,0,0,0
"VII",0,0,0,0,0.0136986301369863,0,0,0,0,0,0,0
