"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0429070929070929,0.00691358024691358,0.0404822954822955,0.262448785782119,0.00790598290598291,0.191308506308506,0.0203703703703704,0.0461640211640212,0.35372158705492,0.00277777777777778
"bII",0,0,0,0,0.0222222222222222,0,0.0133333333333333,0,0.00888888888888889,0,0,0
"II",0.0666666666666667,0,0,0,0.0444444444444444,0.0388888888888889,0,0.168518518518519,0,0.0444444444444444,0.0148148148148148,0
"bIII",0.05,0,0.0111111111111111,0,0,0.0166666666666667,0,0.0111111111111111,0.0333333333333333,0,0.0111111111111111,0.0222222222222222
"III",0.0277777777777778,0,0.0733333333333333,0,0,0.0414529914529915,0.0222222222222222,0.0357142857142857,0,0.0606105006105006,0.00555555555555556,0
"IV",0.719857734857735,0,0.0101044634377968,0.0249810066476733,0.0535016835016835,0,0,0.0809164292497626,0.0134188034188034,0.036322874656208,0.0547431580764914,0
"bV",0,0.0111111111111111,0,0.00555555555555556,0,0.0444444444444444,0,0,0.0166666666666667,0,0,0.0111111111111111
"V",0.256282051282051,0.00555555555555556,0.0287037037037037,0.0037037037037037,0.0659259259259259,0.135720390720391,0.0222222222222222,0,0,0.0346296296296296,0.113923483923484,0
"bVI",0.0811111111111111,0.0166666666666667,0,0.0311111111111111,0,0.0111111111111111,0,0.0266666666666667,0,0.0111111111111111,0,0
"VI",0.0703703703703704,0,0.0355555555555556,0,0.0412698412698413,0.082962962962963,0,0.0518518518518519,0,0,0.0476190476190476,0
"bVII",0.0383231583231583,0,0,0,0,0.946862026862027,0,0.00740740740740741,0.00740740740740741,0,0,0
"VII",0.0222222222222222,0,0,0,0.0111111111111111,0,0.0111111111111111,0,0,0,0,0
