"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00684931506849315,0.371850828015212,0.00547945205479452,0.0477658186562296,0.226647249249989,0,0.157016347427306,0.011545988258317,0.0823331158947597,0.0408380432353035,0.0142857142857143
"bII",0,0,0.0136986301369863,0,0,0,0,0,0,0,0,0
"II",0.772144142007156,0.00424005218525766,0,0.00684931506849315,0.0572412747070281,0.0404653185475103,0,0.0638790053173615,0.00684931506849315,0.038155451854082,0.00880626223091976,0
"bIII",0,0,0.0273972602739726,0,0.0273972602739726,0.0136986301369863,0,0.0182648401826484,0.0136986301369863,0,0.0228310502283105,0
"III",0,0.00684931506849315,0.160958904109589,0.0136986301369863,0,0.128521250439059,0,0.0251141552511416,0,0.153442219880576,0,0.0045662100456621
"IV",0.339247662535334,0,0.103511632963688,0.00114155251141553,0.12648401826484,0,0.0182648401826484,0.120330506631876,0.00799086757990868,0.0421613394216134,0.0264840182648402,0
"bV",0,0,0.0136986301369863,0,0,0,0,0.0273972602739726,0,0,0,0
"V",0.282659273755164,0,0.0691948842633774,0,0.0827788649706458,0.132587123683014,0.00342465753424658,0,0.0164383561643836,0.0529472810294728,0.0242009132420091,0
"bVI",0.0205479452054795,0,0,0.0342465753424658,0,0.0091324200913242,0,0.0319634703196347,0,0.0136986301369863,0.0136986301369863,0
"VI",0.0465753424657534,0,0.217808219178082,0,0.0529680365296804,0.128310502283105,0,0.0723744292237443,0.00684931506849315,0,0.0296803652968037,0.00342465753424658
"bVII",0.0560991519895629,0,0,0,0.0136986301369863,0.0821917808219178,0,0.0260926288323549,0.0273972602739726,0.0136986301369863,0,0
"VII",0,0,0.00684931506849315,0,0.0205479452054795,0,0,0,0,0,0.0136986301369863,0
