"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00529100529100529,0.0185185185185185,0.474605455208903,0,0.251815500378719,0,0.103064373897707,0.0816498316498317,0,0.0350729517396184,0
"bII",0.037037037037037,0,0,0,0,0,0,0.0185185185185185,0.0185185185185185,0,0,0
"II",0,0.037037037037037,0,0,0,0.0246913580246914,0,0.0123456790123457,0,0,0,0
"bIII",0.00925925925925926,0,0,0,0,0.969753086419753,0,0,0.00740740740740741,0,0.0135802469135802,0
"III",0,0,0,0,0,0,0,0,0,0,0,0
"IV",0.609680134680135,0,0.0308641975308642,0.0820426487093154,0,0,0.0185185185185185,0.116713430602319,0.0876543209876543,0,0.0545267489711934,0
"bV",0,0,0,0,0,0.037037037037037,0,0.037037037037037,0,0,0,0
"V",0.46305114638448,0,0,0.0444444444444444,0,0.0758377425044092,0.00925925925925926,0,0.0555555555555556,0,0.0185185185185185,0
"bVI",0.037037037037037,0.037037037037037,0,0.0617283950617284,0,0.0432098765432099,0,0.0432098765432099,0,0.037037037037037,0.12962962962963,0.0185185185185185
"VI",0,0,0,0,0,0.037037037037037,0,0,0,0,0,0
"bVII",0.157407407407407,0,0,0,0,0.111111111111111,0,0.0185185185185185,0.00925925925925926,0,0,0
"VII",0.037037037037037,0,0,0,0,0,0,0,0,0,0,0
