"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0833397037744864,0.0153692201518288,0.0456724434985305,0.326121074151765,0.0020066889632107,0.186286346503738,0.0207867494824017,0.283926370588775,0.0292967859080391,0.00341614906832298
"bII",0.0156521739130435,0,0,0,0,0,0.00173913043478261,0,0,0,0,0
"II",0.0928834933182759,0.00869565217391304,0,0.00869565217391304,0.0124505928853755,0.110144927536232,0.00434782608695652,0.0895934500282326,0,0.0231884057971014,0.0195652173913043,0.00434782608695652
"bIII",0.0315217391304348,0.00869565217391304,0.0184782608695652,0,0.00434782608695652,0.0152173913043478,0,0.0072463768115942,0.0217391304347826,0,0.00579710144927536,0
"III",0.0130434782608696,0.00173913043478261,0.0318840579710145,0.00869565217391304,0,0.133768115942029,0,0.00869565217391304,0,0.113478260869565,0.00173913043478261,0
"IV",0.12217862558016,0,0.0266587036152254,0.00878483835005574,0.0121337599598469,0,0.00391304347826087,0.773392035642675,0.0125630890848282,0.0134199134199134,0.0182603386951213,0
"bV",0.0173913043478261,0,0,0,0,0.00869565217391304,0,0.00434782608695652,0,0,0,0.00434782608695652
"V",0.774098510185467,0.00133779264214047,0.0261856983596114,0.00108695652173913,0.0149620427881297,0.0930010086531826,0,0,0.00848202522115566,0.0595899269812313,0.00521739130434783,0
"bVI",0.036231884057971,0,0,0.0173913043478261,0,0.0318840579710145,0,0.0381159420289855,0,0.0173913043478261,0.0242028985507246,0
"VI",0.0796352922439879,0.00869565217391304,0.0381987577639752,0.00248447204968944,0.0455486542443064,0.477031374422679,0,0.0353623188405797,0.00869565217391304,0,0,0
"bVII",0.0680331262939959,0,0,0.0115942028985507,0,0.0389233954451346,0,0.0260869565217391,0.0153623188405797,0.00434782608695652,0,0.000869565217391304
"VII",0.0173913043478261,0,0,0,0.00217391304347826,0.0152173913043478,0,0.00869565217391304,0,0,0,0
