"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.275132275132275,0.00476190476190476,0.129656084656085,0.237539682539683,0,0.20478835978836,0,0.0752645502645503,0.0395238095238095,0
"bII",0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0
"II",0.0503174603174603,0,0,0,0.00972222222222222,0.850238095238095,0,0.0797222222222222,0,0.00666666666666667,0,0
"bIII",0,0,0.1,0,0,0,0,0,0.0333333333333333,0,0,0
"III",0.0166666666666667,0,0.130555555555556,0.0333333333333333,0,0.182777777777778,0,0.0666666666666667,0,0.0366666666666667,0,0
"IV",0.358201058201058,0,0.0747863247863248,0.0133333333333333,0.0400326797385621,0,0,0.47658311187723,0,0.0116666666666667,0.0253968253968254,0
"bV",0,0,0,0,0,0,0,0,0,0,0,0
"V",0.496960784313725,0,0.065748556998557,0.00392156862745098,0.00952380952380952,0.196256896698073,0,0,0,0.127588383838384,0,0
"bVI",0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0
"VI",0.0555555555555556,0.0333333333333333,0.144444444444444,0,0.08,0.194444444444444,0,0.0922222222222222,0,0,0,0
"bVII",0.0444444444444444,0,0,0.0111111111111111,0,0.0555555555555556,0,0.0222222222222222,0.0166666666666667,0.0166666666666667,0,0
"VII",0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0
