"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00529100529100529,0.0185185185185185,0.51164249224594,0,0.177741426304645,0,0.140101410934744,0.0816498316498317,0,0.0350729517396184,0
"bII",0.037037037037037,0,0,0,0,0,0,0.0185185185185185,0.0185185185185185,0,0,0
"II",0,0.037037037037037,0,0,0,0.0246913580246914,0,0.0123456790123457,0,0,0,0
"bIII",0.00925925925925926,0,0,0,0,0.932716049382716,0,0,0.0444444444444444,0,0.0135802469135802,0
"III",0,0,0,0,0,0,0,0,0,0,0,0
"IV",0.618733632622521,0,0.0308641975308642,0.0664047886270109,0,0,0.0185185185185185,0.131528245417134,0.0876543209876543,0,0.0462962962962963,0
"bV",0,0,0,0,0,0.037037037037037,0,0.037037037037037,0,0,0,0
"V",0.392344075677409,0,0,0.0579124579124579,0,0.0960397627064294,0.00925925925925926,0,0.0555555555555556,0,0.0185185185185185,0
"bVI",0.037037037037037,0.037037037037037,0,0.0617283950617284,0,0.0802469135802469,0,0.0432098765432099,0,0.037037037037037,0.12962962962963,0.0185185185185185
"VI",0,0,0,0,0,0.037037037037037,0,0,0,0,0,0
"bVII",0.157407407407407,0,0,0,0,0.0925925925925926,0,0,0.00925925925925926,0,0,0
"VII",0.037037037037037,0,0,0,0,0,0,0,0,0,0,0
