"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0075,0.107529461279461,0.0343518518518519,0.0623352573352573,0.314588744588745,0.015959595959596,0.0725487012987013,0.00185185185185185,0.321806758056758,0.0361111111111111,0.0233333333333333
"bII",0.0333333333333333,0,0.05,0.00833333333333333,0,0,0.00833333333333333,0,0,0,0,0
"II",0.0471626984126984,0.0122222222222222,0,0,0.0316666666666667,0.0454365079365079,0,0.794305555555556,0,0.0228174603174603,0.0338888888888889,0.00416666666666667
"bIII",0.00833333333333333,0,0.0333333333333333,0,0,0,0,0.0458333333333333,0.0458333333333333,0,0,0
"III",0.00416666666666667,0.0166666666666667,0.035,0.00833333333333333,0,0.076984126984127,0,0.0201388888888889,0,0.413710317460317,0.00833333333333333,0
"IV",0.38202380952381,0,0.0494907407407407,0,0.053968253968254,0,0.00904761904761905,0.199636243386243,0.00333333333333333,0.0194444444444444,0.0388888888888889,0.00666666666666667
"bV",0.0166666666666667,0,0.0166666666666667,0,0.0166666666666667,0.0333333333333333,0,0.05,0,0,0,0.0166666666666667
"V",0.761994810744811,0,0.0378098290598291,0.00486111111111111,0.0516402116402116,0.0749318274318274,0.00416666666666667,0,0,0.0545757020757021,0.00793650793650794,0.00208333333333333
"bVI",0.0111111111111111,0.0166666666666667,0,0.0166666666666667,0,0,0,0,0,0,0,0.00555555555555555
"VI",0.0388888888888889,0,0.76281746031746,0,0.0313492063492063,0.0916666666666667,0,0.0627777777777778,0,0,0,0.0125
"bVII",0.0311111111111111,0,0.00555555555555555,0,0.0222222222222222,0.0122222222222222,0,0.0555555555555556,0,0.05,0,0.00666666666666667
"VII",0.0166666666666667,0,0.0166666666666667,0,0.119444444444444,0.00555555555555555,0,0,0,0,0,0
