"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00871212121212121,0.100049739822467,0.0312289562289562,0.0676647426647427,0.3257165813984,0.0131313131313131,0.110271546635183,0.00168350168350168,0.285607153788972,0.0328282828282828,0.0212121212121212
"bII",0.0454545454545455,0,0.0454545454545455,0.00757575757575758,0,0,0.00757575757575758,0.00757575757575758,0,0,0,0.00757575757575758
"II",0.0656024531024531,0.0212121212121212,0,0,0.0287878787878788,0.0564574314574315,0,0.744823232323232,0.00757575757575758,0.0283189033189033,0.0358585858585859,0.00378787878787879
"bIII",0.00757575757575758,0,0.0454545454545455,0,0,0,0,0.0416666666666667,0.0568181818181818,0,0,0
"III",0.00378787878787879,0.0151515151515152,0.0318181818181818,0.0227272727272727,0,0.0674603174603175,0,0.0258838383838384,0,0.386201298701299,0.00757575757575758,0
"IV",0.35,0,0.0449915824915825,0,0.0490620490620491,0,0.00822510822510823,0.223965848965849,0.00303030303030303,0.0482503607503608,0.0353535353535354,0.00606060606060606
"bV",0.0151515151515152,0,0.0151515151515152,0,0.0151515151515152,0.0303030303030303,0,0.0303030303030303,0,0,0,0.0151515151515152
"V",0.72010569396933,0,0.0387015762015762,0.00441919191919192,0.0545214045214045,0.0952318725045998,0.00378787878787879,0,0,0.0643831757468121,0.00721500721500722,0.00189393939393939
"bVI",0.0101010101010101,0.0151515151515152,0,0.0303030303030303,0,0,0,0,0,0,0,0.00505050505050505
"VI",0.0202020202020202,0,0.791702741702742,0,0.0386002886002886,0.0712121212121212,0,0.0669191919191919,0,0,0,0.0113636363636364
"bVII",0.0282828282828283,0,0.00505050505050505,0,0.0202020202020202,0.0111111111111111,0,0.0656565656565657,0,0.0454545454545455,0,0.00606060606060606
"VII",0.0151515151515152,0.0151515151515152,0.0151515151515152,0,0.108585858585859,0.00505050505050505,0,0,0,0,0,0
