"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.0035031847133758,0.178727581481422,0.0204529370134466,0.0523154658504977,0.316363953269161,0.00822235089751013,0.186653726565679,0.00289151754119907,0.164920440285746,0.0460797694874128,0.0128980891719745
"bII",0.0318471337579618,0,0.0254777070063694,0.00318471337579618,0,0,0.00318471337579618,0,0,0,0,0
"II",0.0460089980790618,0.00467091295116773,0,0.00212314225053079,0.0244843797391568,0.0354868061874431,0,0.853498129612779,0,0.00962996663633606,0.0177282377919321,0.00318471337579618
"bIII",0.00955414012738853,0.00636942675159236,0.0318471337579618,0,0.00955414012738853,0.0254777070063694,0,0.0334394904458599,0.017515923566879,0,0.00636942675159236,0
"III",0.0106157112526539,0.00636942675159236,0.0667728237791932,0.00955414012738853,0,0.0862147406733394,0.00636942675159236,0.0225583864118896,0,0.199188656354261,0.00318471337579618,0.00318471337579618
"IV",0.3355157758024,0,0.116181377009402,0.012369442305748,0.0635122838944495,0,0.0103579011222323,0.231579213426347,0.00254777070063694,0.0213906581740977,0.0291570425328387,0.00254777070063694
"bV",0.0127388535031847,0,0.00636942675159236,0,0.00636942675159236,0.0127388535031847,0,0.0318471337579618,0.00318471337579618,0,0,0.0159235668789809
"V",0.682128619787855,0.000707714083510262,0.0890001718027196,0.00185774946921444,0.0263952077646345,0.0995789596108067,0.00159235668789809,0,0.0143665958952583,0.0613744447343173,0.0109948437973916,0.00207006369426752
"bVI",0.0233545647558386,0.00636942675159236,0,0.0159235668789809,0,0.00955414012738853,0,0.0127388535031847,0,0.0127388535031847,0.00636942675159236,0.00212314225053079
"VI",0.0806794055201698,0.00636942675159236,0.333773127085229,0,0.0380952380952381,0.102866242038217,0,0.0576433121019108,0,0,0.00636942675159236,0.00477707006369427
"bVII",0.0517743403093722,0,0.00212314225053079,0.00318471337579618,0.00849256900212314,0.0618137700940249,0,0.0256900212314225,0.0131634819532909,0.0286624203821656,0,0.00254777070063694
"VII",0.0127388535031847,0,0.00636942675159236,0,0.0679405520169851,0.00212314225053079,0.00318471337579618,0,0,0,0,0
