"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00833333333333333,0.110828985828986,0.0195156695156695,0.0474155474155474,0.207419432419432,0.0136752136752137,0.112396862396862,0.00284900284900285,0.426283901283901,0.0427350427350427,0.00854700854700855
"bII",0.0512820512820513,0,0.0256410256410256,0,0,0,0,0.0128205128205128,0,0,0,0.0128205128205128
"II",0.0301282051282051,0.0170940170940171,0,0,0.00427350427350427,0.0656288156288156,0,0.796550671550671,0,0.0256410256410256,0.0606837606837607,0
"bIII",0.0128205128205128,0,0.0512820512820513,0,0,0,0,0.0192307692307692,0.0448717948717949,0,0,0
"III",0,0.0256410256410256,0.0384615384615385,0.0384615384615385,0,0.0982905982905983,0,0.0213675213675214,0,0.047008547008547,0.0128205128205128,0
"IV",0.353388278388278,0,0.0572649572649573,0,0.0299145299145299,0,0.0102564102564103,0.169871794871795,0.00512820512820513,0.0784493284493284,0.00854700854700855,0.00512820512820513
"bV",0.0256410256410256,0,0.0256410256410256,0,0,0.0256410256410256,0,0.0512820512820513,0,0,0,0
"V",0.759940984940985,0,0.0433760683760684,0.00747863247863248,0.0100732600732601,0.132173382173382,0.00641025641025641,0,0,0.0208587708587709,0.00366300366300366,0.00320512820512821
"bVI",0.0170940170940171,0,0,0.0256410256410256,0,0,0,0,0,0,0,0.00854700854700855
"VI",0.00854700854700855,0,0.879059829059829,0,0.0213675213675214,0.058974358974359,0,0.0256410256410256,0,0,0,0.00641025641025641
"bVII",0.0427350427350427,0,0,0,0,0,0,0.111111111111111,0,0.0512820512820513,0,0
"VII",0.0256410256410256,0.0256410256410256,0.0256410256410256,0,0.0384615384615385,0,0,0,0,0,0,0
