"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0.00198412698412698,0.0179009103641457,0.0103174603174603,0.0123075998075998,0.50926910779852,0,0.371497379708164,0.0111111111111111,0.0266716535098888,0.0133123435206769,0.00396825396825397
"bII",0.00694444444444444,0,0.00694444444444444,0,0,0,0,0,0,0,0,0
"II",0.0543981481481481,0.00694444444444444,0,0.00925925925925926,0,0,0.00347222222222222,0.025462962962963,0.0138888888888889,0,0.0115740740740741,0
"bIII",0.0208333333333333,0,0.00694444444444444,0,0,0,0,0.0277777777777778,0,0,0.0277777777777778,0
"III",0.00694444444444444,0,0,0.0138888888888889,0,0.0277777777777778,0,0.00694444444444444,0,0.0277777777777778,0,0
"IV",0.901794829398996,0,0.00462962962962963,0.0138888888888889,0,0,0.00277777777777778,0.0564613434405101,0.00694444444444444,0.00482253086419753,0.00868055555555556,0
"bV",0.0138888888888889,0,0,0,0,0,0,0.0138888888888889,0,0,0,0
"V",0.895513668430335,0,0.0131944444444444,0,0.00396825396825397,0.0343915343915344,0,0,0.0131172839506173,0.0104166666666667,0.00277777777777778,0.00347222222222222
"bVI",0.0138888888888889,0,0,0,0,0.0138888888888889,0,0.0555555555555556,0,0,0.0277777777777778,0
"VI",0.0833333333333333,0,0.025462962962963,0,0.0138888888888889,0.0231481481481481,0,0.0416666666666667,0.0208333333333333,0,0,0
"bVII",0.0555555555555556,0,0,0,0,0.0138888888888889,0,0.0486111111111111,0.00925925925925926,0.0185185185185185,0,0
"VII",0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0
