"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0380668934240363,0.00357142857142857,0.0372603586889301,0.190763199219082,0,0.107554499072356,0.00909863945578231,0.600822109146689,0.012862872421696,0
"bII",0,0,0,0,0,0,0,0,0,0,0,0
"II",0.0939625850340136,0,0,0,0.0223214285714286,0,0,0.0994897959183673,0,0.0119047619047619,0.0491071428571429,0.00892857142857143
"bIII",0,0,0,0,0,0.0178571428571429,0,0.00595238095238095,0,0,0.0119047619047619,0
"III",0.00892857142857143,0,0.0297619047619048,0,0,0.164880952380952,0,0.0178571428571429,0,0.132142857142857,0.00357142857142857,0
"IV",0.165543186971758,0,0.0314200680272109,0.00148809523809524,0.0228625541125541,0,0.00803571428571429,0.682383786848073,0.0194805194805195,0.02245670995671,0.0284722222222222,0
"bV",0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0
"V",0.759384662956092,0,0.0340136054421769,0,0.0365079365079365,0.0677154195011338,0,0,0.00162337662337662,0.0632549989692847,0.00654761904761905,0
"bVI",0.0357142857142857,0,0,0.0357142857142857,0,0,0,0.0491071428571429,0,0.0178571428571429,0.00446428571428571,0
"VI",0.124251046572475,0,0.0223214285714286,0,0.0333333333333333,0.791522762951334,0,0.0196428571428571,0.00892857142857143,0,0,0
"bVII",0.100595238095238,0,0,0,0,0.0238095238095238,0,0.0148809523809524,0.00178571428571429,0.0178571428571429,0,0.00178571428571429
"VII",0.0178571428571429,0,0,0,0,0,0,0.0178571428571429,0,0,0,0
