"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.409278250094577,0,0.0431000971817298,0.217568769099381,0,0.163010572194246,0.0102040816326531,0.0797862001943635,0.0341705913134485,0.0131195335276968
"bII",0,0,0,0,0,0,0,0,0,0,0,0
"II",0.883055040197897,0,0,0,0.0258194186765615,0.0240038872691934,0,0.0377727714462408,0,0.0243926141885326,0.00291545189504373,0
"bIII",0,0,0.0204081632653061,0,0,0,0,0.0204081632653061,0,0,0.0204081632653061,0
"III",0,0,0.158163265306122,0.0204081632653061,0,0.0768707482993197,0,0.0204081632653061,0,0.0914965986394558,0,0
"IV",0.218011013929381,0,0.106349206349206,0,0.127210884353742,0,0,0.17325882734046,0.00510204081632653,0.0537414965986395,0.0377551020408163,0
"bV",0,0,0,0,0,0,0,0,0,0,0,0
"V",0.366342727567217,0,0.0461863533292105,0,0.0285714285714286,0.101900933533587,0,0,0.0204081632653061,0.0329622758194187,0.0340136054421769,0
"bVI",0.0306122448979592,0,0,0.0102040816326531,0,0.0136054421768707,0,0.0476190476190476,0,0,0.0204081632653061,0
"VI",0.0285714285714286,0,0.192517006802721,0,0.0204081632653061,0.0863945578231293,0,0.0680272108843537,0.0306122448979592,0,0.0408163265306122,0
"bVII",0.0699708454810496,0,0,0,0.0204081632653061,0.0340136054421769,0,0.0388726919339164,0.0408163265306122,0.0204081632653061,0,0
"VII",0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0
