"","I","bII","II","bIII","III","IV","bV","V","bVI","VI","bVII","VII"
"I",0,0,0.0273224043715847,0.0886026541764247,0.0109289617486339,0.643394720034064,0,0.0895678092399404,0.0663544106167057,0.00409836065573771,0.0244535519125683,0.0187353629976581
"bII",0,0,0,0,0,0,0,0.0245901639344262,0.00819672131147541,0,0,0
"II",0.00546448087431694,0.0327868852459016,0,0,0,0.0765027322404372,0,0,0,0,0.0163934426229508,0
"bIII",0.0744535519125683,0.0163934426229508,0.00204918032786885,0,0,0.110655737704918,0,0.0300546448087432,0.0396174863387978,0,0.0218579234972678,0
"III",0.0122950819672131,0,0.0163934426229508,0,0,0,0,0.00409836065573771,0,0,0,0
"IV",0.153381619630414,0,0.0245901639344262,0.0426229508196721,0,0,0.00819672131147541,0.581807735640908,0.0579625292740047,0.00252206809583859,0.0633424408014572,0
"bV",0,0,0,0,0,0.0163934426229508,0,0.0163934426229508,0,0,0,0
"V",0.871648383253215,0,0,0.00204918032786885,0,0.0694783406603942,0.00409836065573771,0,0.031440281030445,0.0105646630236794,0.00889929742388759,0
"bVI",0.069672131147541,0.0163934426229508,0.00409836065573771,0,0,0.0300546448087432,0,0.118579234972678,0,0.0163934426229508,0.0808743169398907,0.00819672131147541
"VI",0.00819672131147541,0,0.00819672131147541,0,0,0.0163934426229508,0,0.0491803278688525,0,0,0.0163934426229508,0.0163934426229508
"bVII",0.0457455113192818,0,0,0.0431693989071038,0,0.0826697892271663,0,0.0934426229508197,0.0136612021857923,0,0,0
"VII",0.0163934426229508,0,0,0,0.00728597449908925,0.0163934426229508,0,0,0,0.00910746812386157,0,0
