GirlImGonnaMissYou,5
HonkyTonkWomen,11
ALoveSong,11
Hair,9
RocketRide,7
IfIWereACarpenter,6
JustADream,10
SunshineSuperman,8
LivingDoll,11
RightPlaceWrongTime,12
ImGoinDown,4
LittleBitO'Soul,1
WorldInMyEyes,12
Goin'Back,13
HandyMan,2
Don'tAskMeWhy,13
StartingOverAgain,11
I'mInLove,11
RedRedWine,1
TenPercent,11
ComeAndGetYourLove,3
SugarMagnolia,10
CryingTime,11
KindOfADrag,11
WhiteChristmas,10
ThereGoesMyEverything,5
Here'sSomeLove,1
"HaveYouSeenYourMother,Baby,StandingInTheShadow?",10
UpsideDown,9
ThreeTimesALady,5
OutOfMyMind,1
IWon'tStandInYourWay,9
KarmaChameleon,13
Schoool'sout,9
SweetMusicMan,11
HotFunInTheSummertime,4
ForTheGoodTimes,11
Gloria,10
OdeToBillieJoe,12
YouMakeMeFeelLikeDancing,3
AnotherRainyDayinNewYorkCity,13
I'veBeenLovingYouTooLong(ToStopNow),7
YouDon'tOwnMe,2
SecretLove,11
Smokin'InTheBoysRoom,8
MercyMercyMe(TheEcology),3
Ain'tTooProudToBeg,12
Ifyoulovesomebodysetthemfree,12
GoingToAGo-Go,9
Don'tstandsoclosetome,9
InTheNavy,11
BabyDontForgetMyNumber,9
It'sOnlyRockandRoll(ButILikeIt),12
EchoesOfLove,1
TornBetweenTwoLovers,3
WichitaLineman,7
HeartFullofSoul,8
I'vePassedThisWayBefore,1
Press,13
YoungHeartsRunFree,10
RunningOnEmpty,8
ADreamGoesOnForever,13
OnTheWingsOfANightingale,10
AllIEverNeedIsYou,13
WhatYouSeeIsWhatYouGet,1
"Tonight,Tonight,Tonight",0
EbonyEyes,10
IAdoreMiAmor,1
MaybeI'mAmazed,6
Easy,6
TheOtherGuy,8
TooWeakToFight,8
IWalkAlone,10
ScarletFever,1
That'sOldFashioned(That'sTheWayLoveShouldBe),11
TakeAChanceOnMe,2
SheBop,0
RockAndRollNeverForgets,5
PutYourHandInTheHand,3
DontTreatMeBad,13
In-A-Gadda-Da-Vida,13
SixDaysOnTheRoad,4
JustTheWayYouAre,10
LoveMeDo,12
Suite:JudyBlueEyes,8
Drivin'Wheel,6
Misunderstanding,5
Rock'n'RollFantasy,0
I'veGotLoveOnMyMind,7
SoulDanceNumber3,1
IDon'tmind,11
BreakItToMeGently,8
AsUsual,11
"Abraham,MartinAndJohn",8
Freeze-Frame,6
GiveToLive,2
BigYellowTaxi,12
ThreeHeartsInATangle,10
InTheMidnightHour,8
Mabelleamie,3
BlowAway,2
Someone,8
EvilWays,1
WithALittleHelpFromMyFriends,6
SeasonsOfTheHeart,1
BeMyGuest,10
EveryTimeIThinkOfYou,12
MyWay,8
EverlastingLove,13
FoolThatIAm,11
WithYouI'mBornAgain,11
EyeInTheSky,9
RichGirl,13
OneBadApple,11
StraightFromTheHeart,11
ElCondorPasa,12
BeMyBaby,13
"Ob-La-Di,Ob-La-Da",10
RunningUpThatHill,0
Ain'tNoSunshine,8
Lovin'You,5
SouthernCross,6
I'llTakeYouThere,1
BetterThings,3
LastChild,12
GordonLightfoot,12
Ramblin'Rose,11
WhereDoYouWannaGo,12
BurningDownTheHouse,12
NoCharge,10
DialMyHeart,4
Heartbreaker,9
ThatGirl,11
DanceAway,2
YouTookTheWordsRightOutOfMyMouth,7
GetTogether,1
"RightHere,RightNow",10
Levon,7
RockThisTown,5
TheBestDiscoInTown,2
YearsAgo,3
Abacab,9
HelloStranger,11
SheThinksIStillCare,10
AllThroughTheNight,11
HoldOn,7
BabyI'mBurnin',12
"IRise,IFall",2
AlmostbyBeingInLove,0
War,9
LoveComesQuickly,1
AddictedtoLove,6
LandOf1000Dances,1
Think,10
InYourSoul,8
AlongComesAWoman,4
Don'tTalkToStrangers,9
WhereTheStreetsHaveNoNames,5
SomebodysWatchingMe,0
HelloHello,10
PromisesInTheDark,7
DumDum,10
Jamie,2
DetroitCity,10
ChainedAndBound,10
Maniac,0
ComingOnStrong,2
AHazyShadeOfWinter,9
IfNotYou,2
TheBitchIsBack,10
UnskinnyBop,6
BustAMove,12
Simon&Garfunkel,2
BabyWhatYouWantMeToDo,10
WhoWillYouRunTo,8
BabyDon'tGo,12
RedneckFriend,2
Mr.Bojangles,13
SoulAndInspiration,7
IGotStripes,4
FloyJoy,5
TimeIsOnMySide,11
Still,5
RockyMountainHigh,1
IDroveAllNight,7
ModernLove,7
Fernando,3
"TheAnaheim,Azusa&CucamongaSewingCircle,BookReviewAndTimingAssociation",12
SweetCaroline(GoodTimesNeverSeemedSoGood),10
I'veBeenEverywhere,10
HereIGoAgain,8
BabyComeBack,6
WithOrWithoutYou,4
Let'sworkTogether,8
MaggieMay,5
TrueColors,5
ATrickOfTheNight,0
DoYouWantToKnowASecret,11
ALessoninLeavin,7
JustCan'tWait,4
AfterTheLoveHasGone,2
ThemeFromTheDukesOfHazzard,10
HeavenMustHaveSentYou,2
Look-KaPyPy,9
WalkRightBack,4
HocusPocus,11
LetMeGetToKnowYou,1
AliveAgain,6
BongoStomp,2
TreatHerRight,8
BackintheHighLifeAgain,10
AmericanStorm,11
Breezin',3
TheseBootsAreMadeForWalkin',12
AnotherBrickInTheWall(PartII),12
ShapesOfThings,4
LosingYou,3
InMyRoom,3
DeeperShadeOfSoul,8
TakeMeDown,10
DownAndOutInNewYorkCity,8
OneNight,10
There'stheGirl,0
WillYouLoveMeTomorrow,2
Feelin'Satisfied,6
OnAndOnAndOn,12
LastKiss,2
MyKindaLover,4
WeDontNeedAnotherHero(Thunderdome),4
GivingYoutheBestThatIGot,7
Surrender,9
ManInTheMirror,8
SmokingGun,12
ThatOldBlackMagic,13
CityInTheSky,8
GetReady,12
GoldenYears,9
GottaServeSomebody,8
Judy,11
LonelyEyes,7
LoversWhoWander,2
ShocktheMonkey,9
JungleBoogie,9
HappyMan,4
ItKeepsRightOnA-Hurtin',10
TheHumptyDance,9
Frankenstein,1
Unforgettable,12
LetTheMusicPlay,0
TryingToLiveMyLifeWithoutYou,10
HisLatestFlame,2
ICanHelp,6
Dandelion,5
WhatHaveIDoneToDeserveThis?,5
SpaceOddity,9
Getaway,1
Sukiyaki,8
WhereOrWhen,2
ColdSweat-Part1,9
Rock'nMe,12
TuffEnuff,12
She'sALady,5
It'sRainingMen,1
NeverMyLove,6
SugarShack,12
TheRose,4
OnTheRoadAgain,12
ItTakesTwo,0
WalkLikeAMan,6
ThisHouse,9
DirtyWater,8
HereComeThoseTearsAgain,13
MissYou,12
