Lady,1
ParadisebytheDashboardLight,3
IWantaNewDrug,0
ATrickOfTheNight,5
WannaBeStartin'Somethin',5
CryLikeABaby,7
Carrie-Anne,8
IfICouldTurnBackTime,2
WeTwo,7
GoingToAGo-Go,5
Boulevard,7
ThatOldBlackMagic,4
PromisesInTheDark,7
Mr.Bojangles,4
HeartFullofSoul,7
ShapeOfThingsToCome,6
Doyourthing,5
HappyMan,5
Lookin'forLove,7
TheStroke,1
WouldItMakeAnyDifferenceToYou,6
DancingMachine,7
MyKindaLover,3
LongDarkRoad,0
In-A-Gadda-Da-Vida,5
MyThang,8
TrueColors,5
I'llTakeYouThere,6
SweetSurrender,6
ISawHerStandingThere,8
HotInTheCity,3
ModernLove,7
"Baby,BabyDon'tCry",0
(Iwas)BornToCry,8
LovelyDay,3
PrettyInPink,2
LetterFullofTears,3
She'sALady,5
WeDon'tTalkAnymore,5
IDon'tBlameYouAtAll,7
That'stheWayIFeelAboutCha,2
TalkBackTremblingLips,2
GivingYoutheBestThatIGot,6
That'sOldFashioned(That'sTheWayLoveShouldBe),2
LuckyMan,8
TwistingtheNightAway,3
SixDaysOnTheRoad,8
SheThinksIStillCare,8
YouCan'tRollerSkateInABuffaloHerd,2
HumanNature,6
Don'tKnockMyLove-Pt.1,5
RebelYell,1
BustAMove,7
Carrie,1
BreakingUpIsHardToDo,2
IsThatAllThereIs,8
HereComeThoseTearsAgain,3
SheBop,1
TownWithout,6
Wendy,4
SilentNight,8
LetTheMusicPlay,1
ItTakesTwo,1
BabyWhatYouWantMeToDo,8
September,5
BackintheHighLifeAgain,8
Lucille,2
TuffEnuff,7
HelpIsOnTheWay,7
There'stheGirl,1
LosingYou,2
AlreadyGone,7
SecretLove,2
There'llNeverBe,4
Amanda,8
JourneyToTheCenterOfTheMind,6
DumDum,8
Judy,2
It'sRainingMen,6
YearsAgo,2
ILove,8
GoodVibrations,1
SwingTalkin'Guy,8
SeasonsOfTheHeart,6
WillTheWolfSurvive,7
Maneater,1
It'sOnlyMakeBelieve,3
OutOfMyMind,6
SoulAndInspiration,6
WithYouI'mBornAgain,2
ThisLittleGirl,3
Ifyoulovesomebodysetthemfree,7
TakeMeDown,8
IfNotYou,3
BabyDon'tChangeYourMind,7
Heartbreaker,6
WhereTheStreetsHaveNoNames,1
Let'sworkTogether,7
Venus,8
LaGrange,5
"RightHere,RightNow",8
He'ssoshy,8
CryingTime,2
JustLikeJesseJames,6
LoveComesQuickly,5
WhatHaveIDoneToDeserveThis?,5
"You'reTheFirst,TheLast,MyEverything",4
BeMyGuest,8
"RockandRoll,HoochieKoo",1
KissesOnTheWind,1
WhenWillIBeLoved,6
Ko-KoJoe,8
TheBitchIsBack,0
BornToBeAlive,5
Annie'sSong,4
ThereSheGoes,6
DontYouKnowWhatTheNightCanDo,1
NakedEyes,7
DreamPolice,0
TillTheEndOfTheDay,1
20-75,2
LastDate,8
WhoWillYouRunTo,1
Maniac,1
She'sAWoman,7
LoveTrain,6
Hair,5
BetterThings,2
What'sLoveGotToDoWithIt,1
BlowAway,0
"Abraham,MartinAndJohn",7
